"","word"
"1","aber"
"2","alle"
"3","allem"
"4","allen"
"5","aller"
"6","alles"
"7","als"
"8","also"
"9","am"
"10","an"
"11","ander"
"12","andere"
"13","anderem"
"14","anderen"
"15","anderer"
"16","anderes"
"17","anderm"
"18","andern"
"19","anderr"
"20","anders"
"21","auch"
"22","auf"
"23","aus"
"24","bei"
"25","bin"
"26","bis"
"27","bist"
"28","da"
"29","damit"
"30","dann"
"31","der"
"32","den"
"33","des"
"34","dem"
"35","die"
"36","das"
"37","daß"
"38","derselbe"
"39","derselben"
"40","denselben"
"41","desselben"
"42","demselben"
"43","dieselbe"
"44","dieselben"
"45","dasselbe"
"46","dazu"
"47","dein"
"48","deine"
"49","deinem"
"50","deinen"
"51","deiner"
"52","deines"
"53","denn"
"54","derer"
"55","dessen"
"56","dich"
"57","dir"
"58","du"
"59","dies"
"60","diese"
"61","diesem"
"62","diesen"
"63","dieser"
"64","dieses"
"65","doch"
"66","dort"
"67","durch"
"68","ein"
"69","eine"
"70","einem"
"71","einen"
"72","einer"
"73","eines"
"74","einig"
"75","einige"
"76","einigem"
"77","einigen"
"78","einiger"
"79","einiges"
"80","einmal"
"81","er"
"82","ihn"
"83","ihm"
"84","es"
"85","etwas"
"86","euer"
"87","eure"
"88","eurem"
"89","euren"
"90","eurer"
"91","eures"
"92","für"
"93","gegen"
"94","gewesen"
"95","hab"
"96","habe"
"97","haben"
"98","hat"
"99","hatte"
"100","hatten"
"101","hier"
"102","hin"
"103","hinter"
"104","ich"
"105","mich"
"106","mir"
"107","ihr"
"108","ihre"
"109","ihrem"
"110","ihren"
"111","ihrer"
"112","ihres"
"113","euch"
"114","im"
"115","in"
"116","indem"
"117","ins"
"118","ist"
"119","jede"
"120","jedem"
"121","jeden"
"122","jeder"
"123","jedes"
"124","jene"
"125","jenem"
"126","jenen"
"127","jener"
"128","jenes"
"129","jetzt"
"130","kann"
"131","kein"
"132","keine"
"133","keinem"
"134","keinen"
"135","keiner"
"136","keines"
"137","können"
"138","könnte"
"139","machen"
"140","man"
"141","manche"
"142","manchem"
"143","manchen"
"144","mancher"
"145","manches"
"146","mein"
"147","meine"
"148","meinem"
"149","meinen"
"150","meiner"
"151","meines"
"152","mit"
"153","muss"
"154","musste"
"155","nach"
"156","nicht"
"157","nichts"
"158","noch"
"159","nun"
"160","nur"
"161","ob"
"162","oder"
"163","ohne"
"164","sehr"
"165","sein"
"166","seine"
"167","seinem"
"168","seinen"
"169","seiner"
"170","seines"
"171","selbst"
"172","sich"
"173","sie"
"174","ihnen"
"175","sind"
"176","so"
"177","solche"
"178","solchem"
"179","solchen"
"180","solcher"
"181","solches"
"182","soll"
"183","sollte"
"184","sondern"
"185","sonst"
"186","über"
"187","um"
"188","und"
"189","uns"
"190","unse"
"191","unsem"
"192","unsen"
"193","unser"
"194","unses"
"195","unter"
"196","viel"
"197","vom"
"198","von"
"199","vor"
"200","während"
"201","war"
"202","waren"
"203","warst"
"204","was"
"205","weg"
"206","weil"
"207","weiter"
"208","welche"
"209","welchem"
"210","welchen"
"211","welcher"
"212","welches"
"213","wenn"
"214","werde"
"215","werden"
"216","wie"
"217","wieder"
"218","will"
"219","wir"
"220","wird"
"221","wirst"
"222","wo"
"223","wollen"
"224","wollte"
"225","würde"
"226","würden"
"227","zu"
"228","zum"
"229","zur"
"230","zwar"
"231","zwischen"
