"","word"
"1","au"
"2","aux"
"3","avec"
"4","ce"
"5","ces"
"6","dans"
"7","de"
"8","des"
"9","du"
"10","elle"
"11","en"
"12","et"
"13","eux"
"14","il"
"15","je"
"16","la"
"17","le"
"18","leur"
"19","lui"
"20","ma"
"21","mais"
"22","me"
"23","même"
"24","mes"
"25","moi"
"26","mon"
"27","ne"
"28","nos"
"29","notre"
"30","nous"
"31","on"
"32","ou"
"33","par"
"34","pas"
"35","pour"
"36","qu"
"37","que"
"38","qui"
"39","sa"
"40","se"
"41","ses"
"42","son"
"43","sur"
"44","ta"
"45","te"
"46","tes"
"47","toi"
"48","ton"
"49","tu"
"50","un"
"51","une"
"52","vos"
"53","votre"
"54","vous"
"55","c"
"56","d"
"57","j"
"58","l"
"59","à"
"60","m"
"61","n"
"62","s"
"63","t"
"64","y"
"65","été"
"66","étée"
"67","étées"
"68","étés"
"69","étant"
"70","suis"
"71","es"
"72","est"
"73","sommes"
"74","êtes"
"75","sont"
"76","serai"
"77","seras"
"78","sera"
"79","serons"
"80","serez"
"81","seront"
"82","serais"
"83","serait"
"84","serions"
"85","seriez"
"86","seraient"
"87","étais"
"88","était"
"89","étions"
"90","étiez"
"91","étaient"
"92","fus"
"93","fut"
"94","fûmes"
"95","fûtes"
"96","furent"
"97","sois"
"98","soit"
"99","soyons"
"100","soyez"
"101","soient"
"102","fusse"
"103","fusses"
"104","fût"
"105","fussions"
"106","fussiez"
"107","fussent"
"108","ayant"
"109","eu"
"110","eue"
"111","eues"
"112","eus"
"113","ai"
"114","as"
"115","avons"
"116","avez"
"117","ont"
"118","aurai"
"119","auras"
"120","aura"
"121","aurons"
"122","aurez"
"123","auront"
"124","aurais"
"125","aurait"
"126","aurions"
"127","auriez"
"128","auraient"
"129","avais"
"130","avait"
"131","avions"
"132","aviez"
"133","avaient"
"134","eut"
"135","eûmes"
"136","eûtes"
"137","eurent"
"138","aie"
"139","aies"
"140","ait"
"141","ayons"
"142","ayez"
"143","aient"
"144","eusse"
"145","eusses"
"146","eût"
"147","eussions"
"148","eussiez"
"149","eussent"
"150","ceci"
"151","cela"
"152","celà"
"153","cet"
"154","cette"
"155","ici"
"156","ils"
"157","les"
"158","leurs"
"159","quel"
"160","quels"
"161","quelle"
"162","quelles"
"163","sans"
"164","soi"
