"","word"
"1","и"
"2","в"
"3","во"
"4","не"
"5","что"
"6","он"
"7","на"
"8","я"
"9","с"
"10","со"
"11","как"
"12","а"
"13","то"
"14","все"
"15","она"
"16","так"
"17","его"
"18","но"
"19","да"
"20","ты"
"21","к"
"22","у"
"23","же"
"24","вы"
"25","за"
"26","бы"
"27","по"
"28","только"
"29","ее"
"30","мне"
"31","было"
"32","вот"
"33","от"
"34","меня"
"35","еще"
"36","нет"
"37","о"
"38","из"
"39","ему"
"40","теперь"
"41","когда"
"42","даже"
"43","ну"
"44","вдруг"
"45","ли"
"46","если"
"47","уже"
"48","или"
"49","ни"
"50","быть"
"51","был"
"52","него"
"53","до"
"54","вас"
"55","нибудь"
"56","опять"
"57","уж"
"58","вам"
"59","сказал"
"60","ведь"
"61","там"
"62","потом"
"63","себя"
"64","ничего"
"65","ей"
"66","может"
"67","они"
"68","тут"
"69","где"
"70","есть"
"71","надо"
"72","ней"
"73","для"
"74","мы"
"75","тебя"
"76","их"
"77","чем"
"78","была"
"79","сам"
"80","чтоб"
"81","без"
"82","будто"
"83","человек"
"84","чего"
"85","раз"
"86","тоже"
"87","себе"
"88","под"
"89","жизнь"
"90","будет"
"91","ж"
"92","тогда"
"93","кто"
"94","этот"
"95","говорил"
"96","того"
"97","потому"
"98","этого"
"99","какой"
"100","совсем"
"101","ним"
"102","здесь"
"103","этом"
"104","один"
"105","почти"
"106","мой"
"107","тем"
"108","чтобы"
"109","нее"
"110","кажется"
"111","сейчас"
"112","были"
"113","куда"
"114","зачем"
"115","сказать"
"116","всех"
"117","никогда"
"118","сегодня"
"119","можно"
"120","при"
"121","наконец"
"122","два"
"123","об"
"124","другой"
"125","хоть"
"126","после"
"127","над"
"128","больше"
"129","тот"
"130","через"
"131","эти"
"132","нас"
"133","про"
"134","всего"
"135","них"
"136","какая"
"137","много"
"138","разве"
"139","сказала"
"140","три"
"141","эту"
"142","моя"
"143","впрочем"
"144","хорошо"
"145","свою"
"146","этой"
"147","перед"
"148","иногда"
"149","лучше"
"150","чуть"
"151","том"
"152","нельзя"
"153","такой"
"154","им"
"155","более"
"156","всегда"
"157","конечно"
"158","всю"
"159","между"
