"","word"
"1","按"
"2","按照"
"3","俺"
"4","们"
"5","阿"
"6","别"
"7","别人"
"8","别处"
"9","是"
"10","别的"
"11","别管"
"12","说"
"13","不"
"14","不仅"
"15","不但"
"16","不光"
"17","不单"
"18","不只"
"19","不外乎"
"20","不如"
"21","不妨"
"22","不尽"
"23","然"
"24","不得"
"25","不怕"
"26","不惟"
"27","不成"
"28","不拘"
"29","料"
"30","不是"
"31","不比"
"32","不然"
"33","特"
"34","不独"
"35","不管"
"36","不至于"
"37","若"
"38","不论"
"39","不过"
"40","不问"
"41","比"
"42","方"
"43","比如"
"44","及"
"45","本身"
"46","本着"
"47","本地"
"48","本人"
"49","本"
"50","巴巴"
"51","巴"
"52","并"
"53","并且"
"54","非"
"55","彼"
"56","时"
"57","彼此"
"58","便于"
"59","把"
"60","边"
"61","鄙人"
"62","罢了"
"63","被"
"64","般"
"65","的"
"66","此"
"67","间"
"68","此次"
"69","此时"
"70","此外"
"71","处"
"72","此地"
"73","才"
"74","才能"
"75","朝"
"76","朝着"
"77","从"
"78","从此"
"79","从而"
"80","除非"
"81","除此之外"
"82","除"
"83","开"
"84","除外"
"85","除了"
"86","诚"
"87","诚如"
"88","出来"
"89","出于"
"90","曾"
"91","趁"
"92","着"
"93","在"
"94","乘"
"95","冲"
"96","等等"
"97","等到"
"98","等"
"99","第"
"100","当"
"101","当然"
"102","当地"
"103","多"
"104","多么"
"105","多少"
"106","对"
"107","对于"
"108","对待"
"109","对方"
"110","对比"
"111","得"
"112","得了"
"113","打"
"114","的确"
"115","的话"
"116","但"
"117","但凡"
"118","但是"
"119","大家"
"120","大"
"121","地"
"122","待"
"123","都"
"124","到"
"125","叮"
"126","咚"
"127","而言"
"128","而是"
"129","而已"
"130","而外"
"131","而后"
"132","而"
"133","况"
"134","而且"
"135","尔尔"
"136","尔"
"137","后"
"138","二"
"139","来"
"140","独"
"141","徒"
"142","非但"
"143","否则"
"144","反过来"
"145","反而"
"146","反之"
"147","分别"
"148","凡是"
"149","凡"
"150","个"
"151","个别"
"152","固然"
"153","故"
"154","故此"
"155","故而"
"156","果然"
"157","果真"
"158","各"
"159","各个"
"160","各位"
"161","各种"
"162","各自"
"163","关于"
"164","具体"
"165","归"
"166","齐"
"167","根据"
"168","管"
"169","赶"
"170","跟"
"171","过"
"172","该"
"173","给"
"174","光"
"175","或者"
"176","或"
"177","曰"
"178","或是"
"179","则"
"180","何"
"181","何以"
"182","何况"
"183","何处"
"184","何时"
"185","还"
"186","要"
"187","还有"
"188","还是"
"189","后者"
"190","很"
"191","换"
"192","言"
"193","之"
"194","换句话说"
"195","好"
"196","和"
"197","即"
"198","即令"
"199","即使"
"200","即便"
"201","如"
"202","继而"
"203","继"
"204","既然"
"205","既是"
"206","既往"
"207","既"
"208","尽管"
"209","如此"
"210","尽"
"211","就要"
"212","就算"
"213","就是"
"214","了"
"215","就"
"216","据"
"217","据此"
"218","接着"
"219","经"
"220","经过"
"221","结果"
"222","及其"
"223","及至"
"224","加以"
"225","加之"
"226","例如"
"227","介"
"228","于"
"229","几时"
"230","几"
"231","截至"
"232","极了"
"233","简言之"
"234","竟"
"235","紧"
"236","距"
"237","较"
"238","进而"
"239","鉴于"
"240","基于"
"241","兼之"
"242","借"
"243","傥"
"244","今"
"245","叫"
"246","将"
"247","可"
"248","可以"
"249","可是"
"250","可见"
"251","开始"
"252","外"
"253","况且"
"254","靠"
"255","看"
"256","来说"
"257","来自"
"258","来着"
"259","两者"
"260","临"
"261","类"
"262","论"
"263","赖"
"264","以"
"265","连"
"266","连同"
"267","离"
"268","莫若"
"269","莫如"
"270","莫"
"271","假使"
"272","假如"
"273","假若"
"274","某"
"275","某些"
"276","某某"
"277","漫"
"278","没奈何"
"279","每"
"280","慢"
"281","冒"
"282","哪个"
"283","哪些"
"284","哪儿"
"285","哪"
"286","天"
"287","年"
"288","哪怕"
"289","样"
"290","哪里"
"291","那里"
"292","那边"
"293","那般"
"294","那样"
"295","那时"
"296","那儿"
"297","那"
"298","会"
"299","儿"
"300","那些"
"301","那么"
"302","些"
"303","那个"
"304","乃"
"305","乃至"
"306","乃至于"
"307","宁肯"
"308","宁愿"
"309","宁可"
"310","宁"
"311","能"
"312","能否"
"313","你"
"314","你们"
"315","您"
"316","拿"
"317","难道"
"318","内"
"319","凭借"
"320","凭"
"321","旁人"
"322","譬如"
"323","譬喻"
"324","且"
"325","其"
"326","其一"
"327","其中"
"328","其二"
"329","其他"
"330","其余"
"331","其它"
"332","其次"
"333","前后"
"334","前"
"335","前者"
"336","起"
"337","见"
"338","全部"
"339","全体"
"340","恰恰相反"
"341","岂"
"342","却"
"343","去"
"344","若非"
"345","若果"
"346","若是"
"347","若夫"
"348","另"
"349","另一方面"
"350","另外"
"351","悉"
"352","如若"
"353","如果"
"354","如是"
"355","如同"
"356","如其"
"357","如何"
"358","如下"
"359","如上所述"
"360","如上"
"361","然则"
"362","然后"
"363","然而"
"364","任"
"365","任何"
"366","任凭"
"367","仍"
"368","仍旧"
"369","人家"
"370","人们"
"371","人"
"372","让"
"373","甚至于"
"374","甚至"
"375","甚而"
"376","甚或"
"377","甚"
"378","么"
"379","甚且"
"380","什么"
"381","上"
"382","上下"
"383","虽说"
"384","虽然"
"385","虽"
"386","孰知"
"387","孰"
"388","始"
"389","所"
"390","所以"
"391","所在"
"392","所幸"
"393","所有"
"394","是以"
"395","设"
"396","使"
"397","设若"
"398","谁"
"399","知"
"400","随着"
"401","随时"
"402","随后"
"403","随"
"404","顺着"
"405","顺"
"406","受到"
"407","使得"
"408","似的"
"409","尚且"
"410","庶"
"411","乎"
"412","时候"
"413","省得"
"414","首先"
"415","倘"
"416","倘使"
"417","倘或"
"418","倘然"
"419","倘若"
"420","同"
"421","同时"
"422","他"
"423","他人"
"424","他们"
"425","她们"
"426","她"
"427","它们"
"428","它"
"429","替代"
"430","替"
"431","通过"
"432","腾"
"433","这里"
"434","这边"
"435","这"
"436","这次"
"437","这样"
"438","这时"
"439","这儿"
"440","这会儿"
"441","这些"
"442","这么"
"443","点儿"
"444","这个"
"445","一"
"446","正是"
"447","正巧"
"448","正如"
"449","正值"
"450","万一"
"451","为"
"452","为了"
"453","为什么"
"454","为何"
"455","为止"
"456","为此"
"457","无论"
"458","无"
"459","我们"
"460","我"
"461","往"
"462","望"
"463","惟"
"464","唯有"
"465","下"
"466","向"
"467","先"
"468","相对"
"469","许多"
"470","像"
"471","小"
"472","一些"
"473","一切"
"474","一方面"
"475","一旦"
"476","一样"
"477","一般"
"478","转眼"
"479","由此"
"480","由"
"481","由于"
"482","用"
"483","因而"
"484","因"
"485","因此"
"486","因为"
"487","要是"
"488","要么"
"489","要不然"
"490","要不"
"491","与"
"492","与其"
"493","否"
"494","与此同时"
"495","以上"
"496","以为"
"497","以便"
"498","以免"
"499","以及"
"500","以故"
"501","以期"
"502","以来"
"503","以至"
"504","以至于"
"505","以致"
"506","己"
"507","已"
"508","矣"
"509","有"
"510","有些"
"511","有关"
"512","有时"
"513","沿"
"514","沿着"
"515","于是"
"516","于是乎"
"517","云云"
"518","云尔"
"519","依照"
"520","依据"
"521","依"
"522","余"
"523","也"
"524","罢"
"525","也好"
"526","又"
"527","抑或"
"528","犹"
"529","自"
"530","越是"
"531","只"
"532","只怕"
"533","只是"
"534","只有"
"535","只消"
"536","只要"
"537","只限"
"538","再"
"539","再有"
"540","再者"
"541","再说"
"542","自身"
"543","自己"
"544","自家"
"545","自从"
"546","个儿"
"547","怎样"
"548","怎"
"549","奈"
"550","怎么"
"551","办"
"552","至"
"553","至今"
"554","至于"
"555","纵然"
"556","纵"
"557","令"
"558","之一"
"559","之所以"
"560","之类"
"561","呢"
"562","眨眼"
"563","总而言之"
"564","总"
"565","总的来说"
"566","总的来看"
"567","总之"
"568","在于"
"569","诸"
"570","诸位"
"571","诸如"
"572","咱们"
"573","咱"
"574","作为"
"575","最"
"576","照"
"577","直到"
"578","综"
"579","所述"
"580","贼"
"581","死"
"582","逐步"
"583","遵照"
"584","遵循"
"585","针对"
"586","致"
"587","者"
"588","咳"
"589","哇"
"590","哈"
"591","哈哈"
"592","哉"
"593","哎"
"594","哎呀"
"595","哎哟"
"596","哗"
"597","哟"
"598","哦"
"599","哩"
"600","焉"
"601","毋"
"602","欤"
"603","嘿嘿"
"604","嘿"
"605","嘻"
"606","嘛"
"607","嘘"
"608","嘎"
"609","登"
"610","嗳"
"611","嗯"
"612","嗬"
"613","嗡嗡"
"614","嗡"
"615","喽"
"616","喔唷"
"617","喏"
"618","喂"
"619","啷"
"620","啪达"
"621","啦"
"622","啥"
"623","啐"
"624","啊"
"625","唉"
"626","哼"
"627","唷"
"628","咧"
"629","咦"
"630","咋"
"631","呼哧"
"632","呸"
"633","呵呵"
"634","呵"
"635","呜"
"636","呼"
"637","呗"
"638","呕"
"639","呃"
"640","呀"
"641","吱"
"642","吧"
"643","哒"
"644","吗"
"645","吓"
"646","兮"
"647","亦"
